Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
35.000	0.0000	0.0000	infinite	43.677	46.239	482.56	25.320	33.634	434.65	undefined	1.0167e-05	0.019090	vapor
35.000	0.0056290	0.039674	25.205	43.645	46.201	150.46	26.125	34.671	433.39	213.37	1.0157e-05	0.019236	vapor
35.000	0.0056290	993.99	0.0010060	2.6415	2.6416	9.1001	73.792	75.295	1519.7	-0.21506	0.00071931	0.62328	liquid
35.000	1.0000	994.43	0.0010056	2.6396	2.6577	9.0938	73.738	75.249	1521.4	-0.21505	0.00071932	0.62373	liquid
35.000	2.0000	994.87	0.0010052	2.6377	2.6739	9.0875	73.684	75.203	1523.1	-0.21505	0.00071933	0.62418	liquid
35.000	3.0000	995.31	0.0010047	2.6358	2.6901	9.0813	73.631	75.157	1524.8	-0.21505	0.00071934	0.62464	liquid
35.000	4.0000	995.75	0.0010043	2.6339	2.7062	9.0750	73.578	75.112	1526.5	-0.21504	0.00071936	0.62509	liquid
35.000	5.0000	996.19	0.0010038	2.6320	2.7224	9.0687	73.525	75.067	1528.3	-0.21504	0.00071937	0.62554	liquid
35.000	6.0000	996.62	0.0010034	2.6301	2.7385	9.0624	73.472	75.022	1530.0	-0.21503	0.00071939	0.62599	liquid
35.000	7.0000	997.06	0.0010030	2.6282	2.7547	9.0561	73.419	74.977	1531.7	-0.21503	0.00071942	0.62645	liquid
35.000	8.0000	997.49	0.0010025	2.6263	2.7708	9.0497	73.367	74.933	1533.4	-0.21502	0.00071945	0.62690	liquid
35.000	9.0000	997.93	0.0010021	2.6244	2.7869	9.0434	73.315	74.889	1535.1	-0.21502	0.00071948	0.62736	liquid
35.000	10.000	998.36	0.0010016	2.6225	2.8030	9.0371	73.263	74.846	1536.8	-0.21501	0.00071951	0.62781	liquid
35.000	11.000	998.79	0.0010012	2.6207	2.8191	9.0307	73.212	74.802	1538.5	-0.21500	0.00071955	0.62826	liquid
35.000	12.000	999.22	0.0010008	2.6188	2.8351	9.0244	73.161	74.759	1540.2	-0.21499	0.00071958	0.62872	liquid
35.000	13.000	999.65	0.0010003	2.6169	2.8512	9.0180	73.110	74.717	1541.9	-0.21498	0.00071963	0.62917	liquid
35.000	14.000	1000.1	0.00099992	2.6151	2.8673	9.0117	73.059	74.674	1543.6	-0.21497	0.00071967	0.62963	liquid
35.000	15.000	1000.5	0.00099949	2.6132	2.8833	9.0053	73.009	74.632	1545.3	-0.21496	0.00071972	0.63008	liquid
35.000	16.000	1000.9	0.00099906	2.6114	2.8994	8.9989	72.959	74.590	1547.1	-0.21495	0.00071977	0.63054	liquid
35.000	17.000	1001.4	0.00099864	2.6095	2.9154	8.9926	72.909	74.548	1548.8	-0.21494	0.00071982	0.63099	liquid
35.000	18.000	1001.8	0.00099821	2.6077	2.9314	8.9862	72.859	74.507	1550.5	-0.21493	0.00071988	0.63145	liquid
35.000	19.000	1002.2	0.00099779	2.6059	2.9474	8.9798	72.810	74.466	1552.2	-0.21492	0.00071994	0.63190	liquid
35.000	20.000	1002.6	0.00099737	2.6041	2.9634	8.9734	72.761	74.425	1553.8	-0.21491	0.00072000	0.63236	liquid
35.000	21.000	1003.1	0.00099695	2.6022	2.9794	8.9670	72.712	74.385	1555.5	-0.21489	0.00072007	0.63281	liquid
35.000	22.000	1003.5	0.00099653	2.6004	2.9954	8.9606	72.663	74.344	1557.2	-0.21488	0.00072014	0.63327	liquid
35.000	23.000	1003.9	0.00099611	2.5986	3.0114	8.9541	72.615	74.304	1558.9	-0.21487	0.00072021	0.63372	liquid
35.000	24.000	1004.3	0.00099569	2.5968	3.0273	8.9477	72.567	74.265	1560.6	-0.21485	0.00072028	0.63418	liquid
35.000	25.000	1004.7	0.00099527	2.5950	3.0433	8.9413	72.519	74.225	1562.3	-0.21484	0.00072036	0.63463	liquid
35.000	26.000	1005.2	0.00099486	2.5932	3.0592	8.9348	72.471	74.186	1564.0	-0.21482	0.00072044	0.63508	liquid
35.000	27.000	1005.6	0.00099445	2.5914	3.0751	8.9284	72.424	74.147	1565.7	-0.21481	0.00072052	0.63554	liquid
35.000	28.000	1006.0	0.00099403	2.5896	3.0911	8.9219	72.376	74.108	1567.4	-0.21479	0.00072061	0.63599	liquid
35.000	29.000	1006.4	0.00099362	2.5879	3.1070	8.9155	72.329	74.070	1569.1	-0.21478	0.00072070	0.63645	liquid
35.000	30.000	1006.8	0.00099321	2.5861	3.1229	8.9090	72.283	74.032	1570.8	-0.21476	0.00072079	0.63690	liquid
35.000	31.000	1007.2	0.00099280	2.5843	3.1388	8.9025	72.236	73.994	1572.5	-0.21474	0.00072088	0.63736	liquid
35.000	32.000	1007.7	0.00099240	2.5826	3.1547	8.8960	72.190	73.956	1574.1	-0.21472	0.00072098	0.63781	liquid
35.000	33.000	1008.1	0.00099199	2.5808	3.1705	8.8896	72.144	73.919	1575.8	-0.21471	0.00072108	0.63826	liquid
35.000	34.000	1008.5	0.00099158	2.5790	3.1864	8.8831	72.098	73.881	1577.5	-0.21469	0.00072118	0.63872	liquid
35.000	35.000	1008.9	0.00099118	2.5773	3.2023	8.8766	72.052	73.845	1579.2	-0.21467	0.00072128	0.63917	liquid
35.000	36.000	1009.3	0.00099078	2.5755	3.2181	8.8701	72.007	73.808	1580.9	-0.21465	0.00072139	0.63962	liquid
35.000	37.000	1009.7	0.00099037	2.5738	3.2339	8.8635	71.962	73.771	1582.6	-0.21463	0.00072150	0.64007	liquid
35.000	38.000	1010.1	0.00098997	2.5721	3.2498	8.8570	71.917	73.735	1584.2	-0.21461	0.00072161	0.64053	liquid
35.000	39.000	1010.5	0.00098957	2.5703	3.2656	8.8505	71.872	73.699	1585.9	-0.21459	0.00072173	0.64098	liquid
35.000	40.000	1010.9	0.00098917	2.5686	3.2814	8.8440	71.828	73.664	1587.6	-0.21457	0.00072185	0.64143	liquid
35.000	41.000	1011.4	0.00098878	2.5669	3.2972	8.8374	71.784	73.628	1589.3	-0.21455	0.00072197	0.64188	liquid
35.000	42.000	1011.8	0.00098838	2.5651	3.3130	8.8309	71.740	73.593	1590.9	-0.21453	0.00072209	0.64233	liquid
35.000	43.000	1012.2	0.00098799	2.5634	3.3288	8.8243	71.696	73.558	1592.6	-0.21451	0.00072222	0.64278	liquid
35.000	44.000	1012.6	0.00098759	2.5617	3.3446	8.8178	71.652	73.523	1594.3	-0.21448	0.00072235	0.64323	liquid
35.000	45.000	1013.0	0.00098720	2.5600	3.3603	8.8112	71.609	73.489	1596.0	-0.21446	0.00072248	0.64368	liquid
35.000	46.000	1013.4	0.00098681	2.5583	3.3761	8.8046	71.566	73.454	1597.6	-0.21444	0.00072261	0.64413	liquid
35.000	47.000	1013.8	0.00098641	2.5566	3.3918	8.7980	71.523	73.420	1599.3	-0.21442	0.00072275	0.64458	liquid
35.000	48.000	1014.2	0.00098602	2.5549	3.4076	8.7915	71.480	73.386	1601.0	-0.21439	0.00072289	0.64503	liquid
35.000	49.000	1014.6	0.00098564	2.5532	3.4233	8.7849	71.438	73.353	1602.7	-0.21437	0.00072303	0.64548	liquid
35.000	50.000	1015.0	0.00098525	2.5515	3.4390	8.7783	71.395	73.319	1604.3	-0.21434	0.00072317	0.64593	liquid
