Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
35.000	0.0000	0.0000	infinite	20.115	22.677	477.82	29.280	37.595	273.40	undefined	1.5408e-05	0.017409	vapor
35.000	1.0000	18.003	0.055547	19.840	22.284	101.84	30.262	40.560	266.33	10.082	1.5504e-05	0.017891	vapor
35.000	2.0000	37.957	0.026345	19.537	21.856	95.078	31.365	44.371	258.85	10.104	1.5666e-05	0.018533	vapor
35.000	3.0000	60.485	0.016533	19.201	21.383	90.574	32.638	49.512	250.87	10.104	1.5917e-05	0.019415	vapor
35.000	4.0000	86.592	0.011548	18.816	20.849	86.867	34.165	56.924	242.24	10.064	1.6300e-05	0.020692	vapor
35.000	5.0000	118.08	0.0084688	18.361	20.225	83.428	36.097	68.751	232.73	9.9504	1.6892e-05	0.022688	vapor
35.000	6.0000	158.79	0.0062978	17.790	19.453	79.874	38.778	91.211	221.87	9.6884	1.7869e-05	0.026224	vapor
35.000	7.0000	220.08	0.0045439	16.965	18.365	75.571	43.289	153.82	208.30	9.0499	1.9792e-05	0.034204	vapor
35.000	8.0000	419.09	0.0023861	14.664	15.504	65.774	57.964	1302.4	181.29	6.1424	2.9843e-05	0.082512	vapor
35.000	8.0000	419.09	0.0023861	14.664	15.504	65.774	57.964	1302.4	181.29	6.1424	2.9843e-05	0.082512	supercritical
35.000	8.0000	419.09	0.0023861	14.664	15.504	65.774	57.964	1302.4	181.29	6.1424	2.9843e-05	0.082512	supercritical
35.000	9.0000	662.13	0.0015103	12.563	13.161	57.925	45.878	250.70	275.65	2.4274	5.1369e-05	0.074690	supercritical
35.000	10.000	712.81	0.0014029	12.124	12.742	56.357	43.388	175.54	328.38	1.7206	5.7692e-05	0.077913	supercritical
35.000	11.000	743.95	0.0013442	11.846	12.496	55.366	42.329	148.17	365.14	1.3618	6.2032e-05	0.081204	supercritical
35.000	12.000	767.07	0.0013037	11.634	12.322	54.612	41.737	133.27	394.49	1.1306	6.5516e-05	0.084121	supercritical
35.000	13.000	785.70	0.0012727	11.460	12.189	53.994	41.354	123.62	419.50	0.96420	6.8503e-05	0.086720	supercritical
35.000	14.000	801.41	0.0012478	11.312	12.081	53.464	41.085	116.74	441.56	0.83656	7.1159e-05	0.089067	supercritical
35.000	15.000	815.06	0.0012269	11.181	11.991	52.998	40.885	111.52	461.43	0.73459	7.3577e-05	0.091217	supercritical
35.000	16.000	827.17	0.0012089	11.064	11.916	52.578	40.733	107.41	479.57	0.65070	7.5813e-05	0.093207	supercritical
35.000	17.000	838.09	0.0011932	10.958	11.851	52.196	40.615	104.07	496.32	0.58016	7.7906e-05	0.095067	supercritical
35.000	18.000	848.04	0.0011792	10.860	11.794	51.843	40.522	101.28	511.91	0.51978	7.9884e-05	0.096818	supercritical
35.000	19.000	857.21	0.0011666	10.770	11.745	51.516	40.448	98.923	526.52	0.46737	8.1766e-05	0.098475	supercritical
35.000	20.000	865.72	0.0011551	10.685	11.702	51.209	40.389	96.888	540.29	0.42133	8.3567e-05	0.10005	supercritical
35.000	21.000	873.67	0.0011446	10.605	11.663	50.920	40.343	95.114	553.34	0.38048	8.5299e-05	0.10156	supercritical
35.000	22.000	881.15	0.0011349	10.530	11.629	50.646	40.306	93.549	565.76	0.34392	8.6971e-05	0.10301	supercritical
35.000	23.000	888.20	0.0011259	10.459	11.599	50.386	40.277	92.156	577.61	0.31096	8.8590e-05	0.10440	supercritical
35.000	24.000	894.88	0.0011175	10.391	11.572	50.138	40.254	90.907	588.97	0.28106	9.0163e-05	0.10574	supercritical
35.000	25.000	901.23	0.0011096	10.327	11.547	49.901	40.237	89.779	599.89	0.25377	9.1695e-05	0.10704	supercritical
35.000	26.000	907.29	0.0011022	10.265	11.526	49.673	40.225	88.753	610.40	0.22873	9.3189e-05	0.10830	supercritical
35.000	27.000	913.08	0.0010952	10.205	11.507	49.454	40.216	87.816	620.56	0.20567	9.4650e-05	0.10952	supercritical
35.000	28.000	918.64	0.0010886	10.148	11.490	49.243	40.211	86.956	630.38	0.18434	9.6081e-05	0.11070	supercritical
35.000	29.000	923.97	0.0010823	10.093	11.475	49.039	40.209	86.163	639.91	0.16453	9.7483e-05	0.11186	supercritical
35.000	30.000	929.11	0.0010763	10.040	11.461	48.842	40.209	85.428	649.16	0.14608	9.8860e-05	0.11299	supercritical
35.000	31.000	934.06	0.0010706	9.9890	11.450	48.650	40.211	84.745	658.15	0.12884	0.00010021	0.11409	supercritical
35.000	32.000	938.84	0.0010651	9.9394	11.439	48.465	40.215	84.109	666.91	0.11269	0.00010154	0.11516	supercritical
35.000	33.000	943.47	0.0010599	9.8913	11.431	48.285	40.220	83.514	675.44	0.097519	0.00010286	0.11621	supercritical
35.000	34.000	947.95	0.0010549	9.8446	11.423	48.109	40.227	82.956	683.78	0.083241	0.00010415	0.11724	supercritical
35.000	35.000	952.29	0.0010501	9.7993	11.417	47.938	40.235	82.432	691.92	0.069771	0.00010542	0.11825	supercritical
35.000	36.000	956.51	0.0010455	9.7552	11.412	47.772	40.244	81.939	699.88	0.057040	0.00010668	0.11924	supercritical
35.000	37.000	960.61	0.0010410	9.7123	11.407	47.609	40.255	81.473	707.67	0.044984	0.00010793	0.12021	supercritical
35.000	38.000	964.60	0.0010367	9.6705	11.404	47.451	40.265	81.032	715.30	0.033548	0.00010915	0.12117	supercritical
35.000	39.000	968.48	0.0010325	9.6297	11.402	47.295	40.277	80.615	722.78	0.022683	0.00011037	0.12211	supercritical
35.000	40.000	972.26	0.0010285	9.5899	11.401	47.144	40.290	80.218	730.11	0.012346	0.00011157	0.12303	supercritical
35.000	41.000	975.95	0.0010246	9.5511	11.400	46.995	40.302	79.842	737.31	0.0024966	0.00011276	0.12394	supercritical
35.000	42.000	979.55	0.0010209	9.5131	11.400	46.850	40.316	79.483	744.39	-0.0069002	0.00011394	0.12483	supercritical
35.000	43.000	983.07	0.0010172	9.4760	11.401	46.707	40.330	79.141	751.33	-0.015876	0.00011511	0.12571	supercritical
35.000	44.000	986.50	0.0010137	9.4397	11.403	46.567	40.344	78.814	758.16	-0.024460	0.00011626	0.12658	supercritical
35.000	45.000	989.87	0.0010102	9.4042	11.405	46.430	40.359	78.502	764.88	-0.032678	0.00011741	0.12743	supercritical
35.000	46.000	993.15	0.0010069	9.3694	11.408	46.295	40.374	78.204	771.49	-0.040554	0.00011855	0.12827	supercritical
35.000	47.000	996.38	0.0010036	9.3352	11.411	46.163	40.390	77.918	778.00	-0.048110	0.00011968	0.12910	supercritical
35.000	48.000	999.53	0.0010005	9.3018	11.415	46.033	40.406	77.643	784.41	-0.055365	0.00012080	0.12992	supercritical
35.000	49.000	1002.6	0.00099738	9.2690	11.420	45.905	40.422	77.380	790.72	-0.062338	0.00012191	0.13073	supercritical
35.000	50.000	1005.7	0.00099438	9.2368	11.425	45.779	40.439	77.127	796.94	-0.069045	0.00012301	0.13153	supercritical
