   1.0000000e+00   3.0732810e+03
   3.0000000e+00   3.1349076e+03
   5.0000000e+00   3.2030456e+03
   7.0000000e+00   3.3029748e+03
   1.0000000e+01   3.4516956e+03
   1.1000000e+01   3.5118532e+03
   1.2000000e+01   3.5538267e+03
   1.3000000e+01   3.6111720e+03
   1.5000000e+01   3.7032046e+03
   1.8000000e+01   3.8492272e+03
   2.0000000e+01   3.9241972e+03
   2.3000000e+01   4.0556508e+03
   2.5000000e+01   4.1217058e+03
   2.8000000e+01   4.2206554e+03
   3.0000000e+01   4.2749743e+03
   3.5000000e+01   4.3854015e+03
   4.0000000e+01   4.4719020e+03
   4.5000000e+01   4.5419746e+03
