   1.0000000e+00   2.3322411e+03
   3.0000000e+00   2.3217065e+03
   5.0000000e+00   2.3911270e+03
   7.0000000e+00   2.4301942e+03
   1.0000000e+01   2.5068024e+03
   1.1000000e+01   2.5343554e+03
   1.2000000e+01   2.5524053e+03
   1.3000000e+01   2.5750825e+03
   1.5000000e+01   2.6201837e+03
   1.8000000e+01   2.6797979e+03
   2.0000000e+01   2.7207286e+03
   2.3000000e+01   2.7734770e+03
   2.5000000e+01   2.8026878e+03
   2.8000000e+01   2.8438381e+03
   3.0000000e+01   2.8657454e+03
   3.5000000e+01   2.9123917e+03
   4.0000000e+01   2.9559697e+03
   4.5000000e+01   2.9816335e+03
